Name,DistinguishedName,Company
Org-NorthShore,"OU=Org-NorthShore,OU=OU - Citizens,DC=apteanps,DC=local","North Shore Township, ON"
ORG-Olds,"OU=ORG-Olds,OU=OU - Citizens,DC=apteanps,DC=local","Olds, AB"
ORG-Paradise,"OU=ORG-Paradise,OU=OU - Citizens,DC=apteanps,DC=local","Paradise, NL"
Org-Parkland,"OU=Org-Parkland,OU=OU - Citizens,DC=apteanps,DC=local","Parkland County, AB"
Org-Penetanguishene,"OU=Org-Penetanguishene,OU=OU - Citizens,DC=apteanps,DC=local","Penetanguishene, ON"
Org-PortHawkesbury,"OU=Org-PortHawkesbury,OU=OU - Citizens,DC=apteanps,DC=local","Port Hawkesbury, NS"
Org-PrinceEdward,"OU=Org-PrinceEdward,OU=OU - Citizens,DC=apteanps,DC=local","Prince Edward County, ON"
Org-Provost,"OU=Org-Provost,OU=OU - Citizens,DC=apteanps,DC=local","Municipal District of Provost, AB"
Org-QualicumBay,"OU=Org-QualicumBay,OU=OU - Citizens,DC=apteanps,DC=local","NA Qualicum Bay Horne Lake Water District, BC"
Org-Quesnel,"OU=Org-Quesnel,OU=OU - Citizens,DC=apteanps,DC=local","Quesnel, BC"
Org-RadiumHotSprings,"OU=Org-RadiumHotSprings,OU=OU - Citizens,DC=apteanps,DC=local","Radium Hot Springs, BC"
ORG-RainbowLake,"OU=ORG-RainbowLake,OU=OU - Citizens,DC=apteanps,DC=local","Rainbow Lake, AB"
Org-RegionalWaste,"OU=Org-RegionalWaste,OU=OU - Citizens,DC=apteanps,DC=local","Mountain View Regional Waste Mgmt, AB"
Org-Renfrew,"OU=Org-Renfrew,OU=OU - Citizens,DC=apteanps,DC=local","Renfrew, ON"
Org-Richmond,"OU=Org-Richmond,OU=OU - Citizens,DC=apteanps,DC=local","Richmond County, NS"
ORG-RmSpringfield,"OU=ORG-RmSpringfield,OU=OU - Citizens,DC=apteanps,DC=local","Springfield, MB"
Org-Rossland,"OU=Org-Rossland,OU=OU - Citizens,DC=apteanps,DC=local","Rossland, BC"
Org-SalmonArm,"OU=Org-SalmonArm,OU=OU - Citizens,DC=apteanps,DC=local","Salmon Arm, BC"
Org-Schreiber,"OU=Org-Schreiber,OU=OU - Citizens,DC=apteanps,DC=local","Schreiber, ON"
Org-Sechelt,"OU=Org-Sechelt,OU=OU - Citizens,DC=apteanps,DC=local","District of Sechelt, BC"
Org-Sexsmith,"OU=Org-Sexsmith,OU=OU - Citizens,DC=apteanps,DC=local","Sexsmith, AB"
Org-ShawniganVillage,"OU=Org-ShawniganVillage,OU=OU - Citizens,DC=apteanps,DC=local","Shawnigan Village Waterworks, BC"
Org-SiouxLookout,"OU=Org-SiouxLookout,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of Sioux Lookout, ON"
Org-SouthStormont,"OU=Org-SouthStormont,OU=OU - Citizens,DC=apteanps,DC=local","South Stormont, ON"
Org-StMarys,"OU=Org-StMarys,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of the District of St. Mary's, NS"
Org-Sunpeaks,"OU=Org-Sunpeaks,OU=OU - Citizens,DC=apteanps,DC=local","Sun Peaks Mountain Resort Municipality, BC"
Org-Tecumseh,"OU=Org-Tecumseh,OU=OU - Citizens,DC=apteanps,DC=local","Tecumseh, ON"
Org-TerraceBay,"OU=Org-TerraceBay,OU=OU - Citizens,DC=apteanps,DC=local","Terrace Bay, ON"
Org-ThreeHills,"OU=Org-ThreeHills,OU=OU - Citizens,DC=apteanps,DC=local","Three Hills, AB"
Org-TNRD,"OU=Org-TNRD,OU=OU - Citizens,DC=apteanps,DC=local","Thompson-Nicola Regional District, BC"
Org-TownOfAntigonish,"OU=Org-TownOfAntigonish,OU=OU - Citizens,DC=apteanps,DC=local","Antigonish, NS"
Org-TownWainwright,"OU=Org-TownWainwright,OU=OU - Citizens,DC=apteanps,DC=local","Wainwright Town, AB"
Org-Turtleford,"OU=Org-Turtleford,OU=OU - Citizens,DC=apteanps,DC=local","Turtleford, SK"
Org-UnionBay,"OU=Org-UnionBay,OU=OU - Citizens,DC=apteanps,DC=local","Union Bay Improvement District, BC"
Org-Uxbridge,"OU=Org-Uxbridge,OU=OU - Citizens,DC=apteanps,DC=local","Uxbridge, ON"
Org-Vauxhall,"OU=Org-Vauxhall,OU=OU - Citizens,DC=apteanps,DC=local","Vauxhall, AB"
Org-Vegreville,"OU=Org-Vegreville,OU=OU - Citizens,DC=apteanps,DC=local","Vegreville, AB"
Org-Vermilion,"OU=Org-Vermilion,OU=OU - Citizens,DC=apteanps,DC=local","Vermilion, AB"
Org-Victoria,"OU=Org-Victoria,OU=OU - Citizens,DC=apteanps,DC=local","Victoria County, NS"
Org-WainWright,"OU=Org-WainWright,OU=OU - Citizens,DC=apteanps,DC=local","Municipal District of Wainwright, AB"
Org-Wellesley,"OU=Org-Wellesley,OU=OU - Citizens,DC=apteanps,DC=local","Wellesley, ON"
Org-Wells,"OU=Org-Wells,OU=OU - Citizens,DC=apteanps,DC=local","District of Wells, BC"
Org-WestNipissing,"OU=Org-WestNipissing,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of West Nipissing, ON"
Org-Weyburn,"OU=Org-Weyburn,OU=OU - Citizens,DC=apteanps,DC=local","Weyburn, SK"
Org-Whitewater,"OU=Org-Whitewater,OU=OU - Citizens,DC=apteanps,DC=local","Whitewater Region, ON"
Org-WRWA,"OU=Org-WRWA,OU=OU - Citizens,DC=apteanps,DC=local","Wainwright Regional Waste to Energy Authority, AB"
Org-Yellowknife,"OU=Org-Yellowknife,OU=OU - Citizens,DC=apteanps,DC=local","Yellowknife, NT"
